1,Apple,iPad Mini,64,iOS,12.3,399.00
2,Apple,iPad,64,iOS,12.3,329.00
3,Apple,iPad Air,64,iOS,12.3,499.00
4,Samsung,Galaxy Tab,8,Android,5.1.1 Lollipop,139.99
5,Samsung,Galaxy Tab S3,64,Android,6.0 Marshmallow,549.99
6,Microsoft,Surface Go,64,Windows,10 Home,469.00
7,Microsoft,Surface Pro,256,Windows,10 Pro,1299.00
8,Microsoft,Surface Book,128,Windows,10 Pro,1599.00
9,Acer,Iconia B3,16,Android,7.0 Nougat,179.99
10,Asus,ZenPad 10,64,Android,7.0 Nougat,401.98
11,Asus,Transformer,64,Windows,10 Home,381.51
